ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.06396484,-0.05029297,0.9921875,1.15966797,-1.34277344,0.85449219
0.06396484,-0.05029297,0.9921875,1.15966797,-1.34277344,0.85449219
0.07617188,-0.04882812,0.99169922,-0.18310547,-0.54931641,-0.30517578
0.07617188,-0.04882812,0.99169922,-0.18310547,-0.54931641,-0.30517578
0.08154297,-0.05078125,1.00390625,0.36621094,-0.30517578,-1.64794922
0.08154297,-0.05078125,1.00390625,0.36621094,-0.30517578,-1.64794922
0.046875,-0.05322266,0.99804688,2.74658203,-1.70898438,-1.52587891
0.046875,-0.05322266,0.99804688,2.74658203,-1.70898438,-1.52587891
0.08886719,-0.05029297,1.00732422,4.15039062,-2.86865234,-0.73242188
0.08886719,-0.05029297,1.00732422,4.15039062,-2.86865234,-0.73242188
0.08154297,-0.04541016,0.99804688,4.63867188,-3.17382812,-1.03759766
0.08154297,-0.04541016,0.99804688,4.63867188,-3.17382812,-1.03759766
0.07324219,-0.04199219,1.00244141,5.92041016,-3.05175781,-1.22070312
0.07324219,-0.04199219,1.00244141,5.92041016,-3.05175781,-1.22070312
0.07324219,-0.04394531,1,5.859375,-2.13623047,-1.28173828
0.07324219,-0.04394531,1,5.859375,-2.13623047,-1.28173828
0.05859375,-0.03417969,0.99365234,5.31005859,-2.19726562,-1.83105469
0.05859375,-0.03417969,0.99365234,5.31005859,-2.19726562,-1.83105469
0.05322266,-0.04052734,0.99316406,4.33349609,-0.91552734,-0.85449219
0.05322266,-0.04052734,0.99316406,4.33349609,-0.91552734,-0.85449219
0.05029297,-0.04101562,1.00292969,4.08935547,2.25830078,0.54931641
0.05029297,-0.04101562,1.00292969,4.08935547,2.25830078,0.54931641
0.02685547,-0.04541016,0.99267578,0.9765625,7.93457031,1.89208984
0.02685547,-0.04541016,0.99267578,0.9765625,7.93457031,1.89208984
0.03857422,-0.01416016,1.02099609,2.31933594,15.07568359,1.46484375
0.03857422,-0.01416016,1.02099609,2.31933594,15.07568359,1.46484375
0.07275391,-0.05712891,1.04492188,5.12695312,23.37646484,3.72314453
0.07275391,-0.05712891,1.04492188,5.12695312,23.37646484,3.72314453
0.05273438,-0.03857422,1.04541016,1.953125,24.29199219,4.02832031
0.0390625,-0.03955078,1.03466797,0,24.53613281,4.63867188
0.04345703,-0.04736328,1.04980469,2.56347656,26.30615234,4.45556641
0.04345703,-0.04736328,1.04980469,2.56347656,26.30615234,4.45556641
-0.04589844,-0.05078125,1.05419922,6.10351562,26.30615234,3.47900391
-0.04589844,-0.05078125,1.05419922,6.10351562,26.30615234,3.47900391
0.00341797,-0.04589844,1.04833984,7.01904297,27.58789062,5.12695312
0.00341797,-0.04589844,1.04833984,7.01904297,27.58789062,5.12695312
0.00341797,-0.06005859,1.0546875,7.01904297,25.87890625,3.23486328
0.00341797,-0.06005859,1.0546875,7.01904297,25.87890625,3.23486328
-0.03271484,-0.04589844,1.02246094,3.66210938,21.24023438,3.41796875
-0.03271484,-0.04589844,1.02246094,3.66210938,21.24023438,3.41796875
0.04101562,-0.05761719,1.03125,-3.17382812,15.44189453,2.31933594
0.04101562,-0.05761719,1.03125,-3.17382812,15.44189453,2.31933594
0.07177734,-0.05322266,0.99902344,-12.26806641,9.58251953,1.09863281
0.07177734,-0.05322266,0.99902344,-12.26806641,9.58251953,1.09863281
0.06005859,-0.04296875,0.99316406,-21.17919922,4.51660156,1.89208984
0.06005859,-0.04296875,0.99316406,-21.17919922,4.51660156,1.89208984
0.05908203,-0.05908203,0.98828125,-19.40917969,-5.31005859,3.11279297
0.05908203,-0.05908203,0.98828125,-19.40917969,-5.31005859,3.11279297
0.17431641,-0.05859375,0.97021484,-12.32910156,-14.77050781,0.24414062
0.17431641,-0.05859375,0.97021484,-12.32910156,-14.77050781,0.24414062
0.13720703,-0.05615234,0.94628906,-8.17871094,-22.4609375,-1.40380859
0.13720703,-0.05615234,0.94628906,-8.17871094,-22.4609375,-1.40380859
0.09375,-0.00927734,0.890625,-4.63867188,-22.82714844,-0.9765625
0.09375,-0.00927734,0.890625,-4.63867188,-22.82714844,-0.9765625
